id;date;t;h;ye;y
1;jun-16;2016;6;0.37;0.033777451
2;jul-16;2016;5;0.386;0.023274657
3;ago-16;2016;4;0.377;-0.008233723
4;sep-16;2016;3;0.365;0.013822143
5;oct-16;2016;2;0.366;0.030626613
6;nov-16;2016;1;0.371;0.021174098
7;jun-16;2017;18;0.185;0.033777451
8;jul-16;2017;17;0.193;0.023274657
9;ago-16;2017;16;0.199;-0.008233723
10;sep-16;2017;15;0.193;0.013822143
11;oct-16;2017;14;0.192;0.030626613
12;nov-16;2017;13;0.193;0.021174098
13;dic-16;2017;12;0.196;0.012771864
14;ene-17;2017;11;0.2;0.016
15;feb-17;2017;10;0.201;0.021
16;mar-17;2017;9;0.203;0.024
17;abr-17;2017;8;0.205;0.027
18;may-17;2017;7;0.214;0.014
19;jun-17;2017;6;0.215;0.012
20;jul-17;2017;5;0.22;0.017
21;ago-17;2017;4;0.22;0.014
22;sep-17;2017;3;0.22;0.019
23;oct-17;2017;2;0.23;0.015
24;nov-17;2017;1;0.235;0.014
25;dic-16;2018;24;0.14;0.012771864
26;ene-17;2018;23;0.14;0.016
27;feb-17;2018;22;0.14;0.021
28;mar-17;2018;21;0.14;0.024
29;abr-17;2018;20;0.14;0.027
30;may-17;2018;19;0.145;0.014
31;jun-17;2018;18;0.149;0.012
32;jul-17;2018;17;0.155;0.017
33;ago-17;2018;16;0.157;0.014
34;sep-17;2018;15;0.158;0.019
35;oct-17;2018;14;0.16;0.015
36;nov-17;2018;13;0.166;0.014
37;dic-17;2018;12;0.174;0.031
38;ene-18;2018;11;0.194;0.018
39;feb-18;2018;10;0.199;0.024
40;mar-18;2018;9;0.203;0.023
41;abr-18;2018;8;0.22;0.027
42;may-18;2018;7;0.271;0.021
43;jun-18;2018;6;0.3;0.037
44;jul-18;2018;5;0.318;0.031
45;ago-18;2018;4;0.403;0.039
46;sep-18;2018;3;0.448;0.065
47;oct-18;2018;2;0.475;0.054
48;dic-17;2019;24;0.116;0.031
49;ene-18;2019;23;0.135;0.018
50;feb-18;2019;22;0.14;0.024
51;mar-18;2019;21;0.143;0.023
52;abr-18;2019;20;0.15;0.027
53;may-18;2019;19;0.19;0.021
54;jun-18;2019;18;0.202;0.037
55;jul-18;2019;17;0.206;0.031
56;ago-18;2019;16;0.253;0.039
57;sep-18;2019;15;0.27;0.065
58;oct-18;2019;14;0.278;0.054
